Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review,Additional Authors,Ratings Count,Shelf,Genre,Format,Series / Section,Volume,Pages,Awards,Notes
Homeland,"Salvatore, R. A.",,,,Wizards of the Coast,Paperback,1990,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Legend of Drizzt › The Dark Elf Trilogy,1,343,,
Exile,"Salvatore, R. A.",,,,Wizards of the Coast,Paperback,1990,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Legend of Drizzt › The Dark Elf Trilogy,2,313,,
Sojourn,"Salvatore, R. A.",,,,Wizards of the Coast,Paperback,1991,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Legend of Drizzt › The Dark Elf Trilogy,3,313,,
The Crystal Shard,"Salvatore, R. A.",,,,Wizards of the Coast,Paperback,1988,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Legend of Drizzt › The Icewind Dale Trilogy,4 (Icewind Dale 1),344,,"Published first, but placed fourth in the Legend of Drizzt reading order after the Dark Elf prequel trilogy."
Streams of Silver,"Salvatore, R. A.",,,,Wizards of the Coast,Paperback,1989,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Legend of Drizzt › The Icewind Dale Trilogy,5 (Icewind Dale 2),343,,
The Halfling's Gem,"Salvatore, R. A.",,,,Wizards of the Coast,Paperback,1990,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Legend of Drizzt › The Icewind Dale Trilogy,6 (Icewind Dale 3),313,,
The Way of Kings,"Sanderson, Brandon",,,4.66,Tor,Hardcover,2010,,,,,fiction fantasy,,,681000,fiction,Fantasy,Series volume,The Stormlight Archive,1,1007,David Gemmell Legend Award (2011),
Words of Radiance,"Sanderson, Brandon",,,4.76,Tor,Hardcover,2014,,,,,fiction fantasy,,,513000,fiction,Fantasy,Series volume,The Stormlight Archive,2,1087,David Gemmell Legend Award (2015),
Edgedancer,"Sanderson, Brandon",,,,Tor,Hardcover,2016,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Stormlight Archive,2.5,272,,"A novella, first published inside the Arcanum Unbounded collection and later issued alone."
Oathbringer,"Sanderson, Brandon",,,,Tor,Hardcover,2017,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Stormlight Archive,3,1248,,
Ivanhoe,"Scott, Sir Walter",,,,Penguin,,1819,,,,,fiction classics historical-fiction adventure,,,,fiction,Classics; Historical Fiction; Adventure,Standalone,,,544,,
Much Ado About Nothing,"Shakespeare, William",,,,Simon & Schuster,,1599,,,,,fiction classics,,,,fiction,Classics,Standalone,,,128,,A play. The Arden and Folger editions run 300–400 pp with commentary; the text alone is well under 150.
Hyperion,"Simmons, Dan",,,4.27,Bantam Spectra,Paperback,1989,,,,,fiction science-fiction,,,300000,fiction,Science Fiction,Series volume,Hyperion Cantos,1,482,"Hugo, Best Novel (1990); Locus, Best SF Novel (1990)",Duplicate: also the first component of The Hyperion Cantos omnibus in this library. Counted once in the library total.
The Hyperion Cantos,"Simmons, Dan",,,,Bantam Spectra,ebook,,,,,,fiction science-fiction,,,,fiction,Science Fiction,Omnibus file,Hyperion Cantos,1–4,2141,"BSFA Award, Best Novel (1991); Hugo, Best Novel (1990); Locus, Best SF Novel (1990); Locus, Best SF Novel (1991); Locus, Best SF Novel (1998)","Four novels, often read as two duologies: Hyperion / The Fall of Hyperion, then Endymion / The Rise of Endymion. Hyperion is also held separately in this library."
The Ruins,"Smith, Scott",,,,Vintage,Paperback,2006,,,,,fiction horror thriller,,,,fiction,Horror; Thriller,Standalone,,,320,,
East of Eden,"Steinbeck, John",,,,Penguin,,1952,,,,,fiction classics literary-fiction,,,,fiction,Classics; Literary Fiction,Standalone,,,601,Author: Nobel Prize in Literature (1962),
Of Mice and Men,"Steinbeck, John",,,,Penguin,,1937,,,,,fiction classics literary-fiction,,,,fiction,Classics; Literary Fiction,Standalone,,,107,Author: Nobel Prize in Literature (1962),
The Grapes of Wrath,"Steinbeck, John",,,,Penguin,,1939,,,,,fiction classics literary-fiction,,,,fiction,Classics; Literary Fiction,Standalone,,,464,Pulitzer Prize for Fiction (1940); National Book Award (1939); Author: Nobel Prize in Literature (1962),
Earth Abides,"Stewart, George R.",,,,Del Rey,Paperback,1949,,,,,fiction science-fiction dystopian classics,,,,fiction,Science Fiction; Dystopian; Classics,Standalone,,,345,International Fantasy Award (1951),
Dracula,"Stoker, Bram",,,,Penguin,,1897,,,,,fiction horror classics,,,,fiction,Horror; Classics,Standalone,,,418,,
Luke Skywalker and the Shadows of Mindor,"Stover, Matthew",,,,Del Rey,Paperback,2008,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Standalone,Star Wars Legends,—,336,,
Traitor,"Stover, Matthew",,,,Del Rey,Paperback,2002,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The New Jedi Order,3,320,,Filename numbers it 3; it is the thirteenth New Jedi Order novel.
Roadside Picnic,"Strugatsky, Arkady & Boris",,,,Chicago Review Press,,1972,,,,,fiction science-fiction,,,,fiction,Science Fiction,Standalone,,,209,,The 2012 Bormashenko translation restores material cut by Soviet censors and supersedes the 1977 Antonina Bouis version.
Ring,"Suzuki, Koji",,,,Vertical,Paperback,1991,,,,,fiction horror,,,,fiction,Horror,Series volume,Ring,1,282,,
The Hobbit,"Tolkien, J. R. R.",,,4.29,,,1937,,,,,fiction fantasy classics adventure,,,4321000,fiction,Fantasy; Classics; Adventure,Standalone,,,310,,
The Lord of the Rings,"Tolkien, J. R. R.",,,4.54,HarperCollins / Houghton Mifflin,,1954–55,,,,,fiction fantasy classics adventure,,,732000,fiction,Fantasy; Classics; Adventure,Omnibus file,The Lord of the Rings,1–3,1178,International Fantasy Award (1957),"One novel, not a trilogy — Tolkien wrote it as a single work and the three-volume split was a 1954 publishing decision. The component figures below are the standard three-volume paperbacks; the appendices add roughly 100 pp to The Return of the King."
The Silmarillion,"Tolkien, J. R. R.",,,,,,1977,,,,,fiction fantasy classics,,,,fiction,Fantasy; Classics,Standalone,,,365,,Assembled and edited posthumously by Christopher Tolkien.
Gone to See the River Man,"Triana, Kristopher",,,,Grindhouse Press,,2020,,,,,fiction horror,,,,fiction,Horror,Standalone,,,226,,
The Truce at Bakura,"Tyers, Kathy",,,,Bantam Spectra,Paperback,1993,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Standalone,Star Wars Legends,—,341,,
Area X: The Southern Reach Trilogy,"VanderMeer, Jeff",,,,"Farrar, Straus and Giroux",,2014,,,,,fiction science-fiction horror literary-fiction,,,,fiction,Science Fiction; Horror; Literary Fiction,Omnibus file,The Southern Reach,1–3,608,"Nebula, Best Novel (2014); Shirley Jackson Award, Best Novel (2014)","A fourth book, Absolution, was published in 2024 and is not part of this omnibus."
Twenty Thousand Leagues Under the Seas,"Verne, Jules",,,,Oxford,,1870,,,,,fiction science-fiction classics adventure,,,,fiction,Science Fiction; Classics; Adventure,Series volume,Voyages Extraordinaires,—,464,,The Butcher and Walter translations are complete; the common 19th-century Mercier Lewis translation cuts roughly a quarter of the text and is best avoided.
Slaughterhouse-Five,"Vonnegut, Kurt",,,4.1,Dial Press,Paperback,1969,,,,,fiction science-fiction satire classics war,,,1522000,fiction,Science Fiction; Satire; Classics; War,Standalone,,,275,,
Project Hail Mary,"Weir, Andy",,,,Ballantine,Hardcover,2021,,,,,fiction science-fiction,,,,fiction,Science Fiction,Standalone,,,476,,
Dragons of Autumn Twilight,"Weis, Margaret",,,,Wizards of the Coast,Paperback,1984,,,,,fiction fantasy adventure,,"Hickman, Tracy",,fiction,Fantasy; Adventure,Series volume,Dragonlance Chronicles,1,447,,
Dragons of Winter Night,"Weis, Margaret",,,,Wizards of the Coast,Paperback,1985,,,,,fiction fantasy adventure,,"Hickman, Tracy",,fiction,Fantasy; Adventure,Series volume,Dragonlance Chronicles,2,399,,
Dragons of Spring Dawning,"Weis, Margaret",,,,Wizards of the Coast,Paperback,1985,,,,,fiction fantasy adventure,,"Hickman, Tracy",,fiction,Fantasy; Adventure,Series volume,Dragonlance Chronicles,3,464,,
Time of the Twins,"Weis, Margaret",,,,Wizards of the Coast,Paperback,1986,,,,,fiction fantasy adventure,,"Hickman, Tracy",,fiction,Fantasy; Adventure,Series volume,Dragonlance Legends,1,400,,
War of the Twins,"Weis, Margaret",,,,Wizards of the Coast,Paperback,1986,,,,,fiction fantasy adventure,,"Hickman, Tracy",,fiction,Fantasy; Adventure,Series volume,Dragonlance Legends,2,400,,
Test of the Twins,"Weis, Margaret",,,,Wizards of the Coast,Paperback,1986,,,,,fiction fantasy adventure,,"Hickman, Tracy",,fiction,Fantasy; Adventure,Series volume,Dragonlance Legends,3,368,,
The Island of Doctor Moreau,"Wells, H. G.",,,,Penguin,,1896,,,,,fiction science-fiction classics horror,,,,fiction,Science Fiction; Classics; Horror,Standalone,,,160,,
The Time Machine,"Wells, H. G.",,,,Penguin,,1895,,,,,fiction science-fiction classics,,,,fiction,Science Fiction; Classics,Standalone,,,118,,
The Once and Future King,"White, T. H.",,,,Ace,,1958,,,,,fiction fantasy classics,,,,fiction,Fantasy; Classics,Omnibus file,The Once and Future King,1–4,677,,"Assembled by White from four previously separate books. Because he revised them substantially for the omnibus, the collected text is the standard one and the parts are not usually costed separately."
The Dragonbone Chair,"Williams, Tad",,,,DAW,Paperback,1988,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,"Osten Ard › Memory, Sorrow and Thorn",1,672,,
Stone of Farewell,"Williams, Tad",,,,DAW,Paperback,1990,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,"Osten Ard › Memory, Sorrow and Thorn",2,589,,
To Green Angel Tower,"Williams, Tad",,,,DAW,Hardcover,1993,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,"Osten Ard › Memory, Sorrow and Thorn",3,1083,,"Published complete in hardcover, then split into two mass-market paperbacks (Siege ~784 pp and Storm ~816 pp) because of its length."
The Heart of What Was Lost,"Williams, Tad",,,,DAW,Hardcover,2017,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Osten Ard,Interlude,240,,
The Witchwood Crown,"Williams, Tad",,,,DAW,Hardcover,2017,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Osten Ard › The Last King of Osten Ard,1,736,,
Empire of Grass,"Williams, Tad",,,,DAW,Hardcover,2019,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Osten Ard › The Last King of Osten Ard,2,688,,
Into the Narrowdark,"Williams, Tad",,,,DAW,Hardcover,2022,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Osten Ard › The Last King of Osten Ard,3,656,,
The Navigator's Children,"Williams, Tad",,,,DAW,Hardcover,2024,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Osten Ard › The Last King of Osten Ard,4,736,,
Brothers of the Wind,"Williams, Tad",,,,DAW,Hardcover,2021,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Osten Ard,Prequel,288,,
Destiny's Way,"Williams, Walter Jon",,,,Del Rey,Paperback,2002,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The New Jedi Order,4,480,,Filename numbers it 4; it is the fourteenth New Jedi Order novel.
On Blue's Waters,"Wolfe, Gene",,,,Tor,Paperback,1999,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,The Solar Cycle › The Book of the Short Sun,1,381,,
In Green's Jungles,"Wolfe, Gene",,,,Tor,Paperback,2000,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,The Solar Cycle › The Book of the Short Sun,2,381,,
Return to the Whorl,"Wolfe, Gene",,,,Tor,Paperback,2001,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,The Solar Cycle › The Book of the Short Sun,3,412,,
The Book of the New Sun,"Wolfe, Gene",,,,Orb / Tor,ebook,,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Omnibus file,The Solar Cycle › The Book of the New Sun,1–5,1556,"BSFA Award, Best Novel (1981); British Fantasy Award (1983); John W. Campbell Memorial Award (1983); Locus, Best Fantasy Novel (1982); Locus, Best Fantasy Novel (1983); Nebula, Best Novel (1981); World Fantasy Award, Best Novel (1981)","The '1-5' in the filename, and its position before the Long Sun books numbered 6–9, indicates the four-volume New Sun sequence plus the coda The Urth of the New Sun. In print the four core volumes are usually sold as two omnibuses, Shadow & Claw (~432 pp) and Sword & Citadel (~416 pp)."
Nightside the Long Sun,"Wolfe, Gene",,,,Tor,Paperback,1993,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,The Solar Cycle › The Book of the Long Sun,1,333,,
Lake of the Long Sun,"Wolfe, Gene",,,,Tor,Paperback,1994,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,The Solar Cycle › The Book of the Long Sun,2,381,,
Caldé of the Long Sun,"Wolfe, Gene",,,,Tor,Paperback,1994,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,The Solar Cycle › The Book of the Long Sun,3,381,,
Exodus from the Long Sun,"Wolfe, Gene",,,,Tor,Paperback,1996,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,The Solar Cycle › The Book of the Long Sun,4,381,,
The Courtship of Princess Leia,"Wolverton, Dave",,,,Bantam Spectra,Paperback,1994,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Standalone,Star Wars Legends,—,327,,
The Day of the Triffids,"Wyndham, John",,,,Penguin,,1951,,,,,fiction science-fiction dystopian classics,,,,fiction,Science Fiction; Dystopian; Classics,Standalone,,,228,,
Musashi,"Yoshikawa, Eiji",,,,Kodansha,,1935,,,,,fiction historical-fiction adventure,,,,fiction,Historical Fiction; Adventure,Standalone,,,970,,Serialised 1935–39; the English translation is abridged relative to the Japanese original.
Conquerors' Pride,"Zahn, Timothy",,,,Bantam Spectra,Paperback,1994,,,,,fiction science-fiction,,,,fiction,Science Fiction,Series volume,The Conquerors Saga,1,342,,
Conquerors' Heritage,"Zahn, Timothy",,,,Bantam Spectra,Paperback,1995,,,,,fiction science-fiction,,,,fiction,Science Fiction,Series volume,The Conquerors Saga,2,342,,
Conquerors' Legacy,"Zahn, Timothy",,,,Bantam Spectra,Paperback,1996,,,,,fiction science-fiction,,,,fiction,Science Fiction,Series volume,The Conquerors Saga,3,342,,
Allegiance,"Zahn, Timothy",,,,Del Rey,Paperback,2007,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: Hand of Judgment,1,320,,
Choices of One,"Zahn, Timothy",,,,Del Rey,Hardcover,2011,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: Hand of Judgment,2,384,,
Heir to the Empire,"Zahn, Timothy",,,,Bantam Spectra,Paperback,1991,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The Thrawn Trilogy,1,361,,
Dark Force Rising,"Zahn, Timothy",,,,Bantam Spectra,Paperback,1992,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The Thrawn Trilogy,2,405,,
The Last Command,"Zahn, Timothy",,,,Bantam Spectra,Paperback,1993,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The Thrawn Trilogy,3,467,,
We,"Zamyatin, Yevgeny",,,,Penguin,,1924,,,,,fiction science-fiction dystopian classics,,,,fiction,Science Fiction; Dystopian; Classics,Standalone,,,232,Prometheus Hall of Fame (1994),
The Original Folk and Fairy Tales of the Brothers Grimm,"Zipes, Jack (ed./trans.)",,,,Princeton University Press,,2014,,,,,fiction fantasy short-stories classics,,,,fiction,Fantasy; Short Stories; Classics,Anthology,,,568,,"Zipes's translation of the 1812/1815 first edition — the unrevised, considerably darker texts. Counted as one work."
The Story: The Bible as One Continuing Story of God and His People,"Zondervan (Lucado, Max",9780310621904,,,Zondervan,Hardcover,2011,,,,,fiction,,"Frazee, Randy, eds.)",,fiction,,Story collection,,,496,,"Not a novel: an abridgement of the NIV Bible rearranged chronologically into 31 chapters, with linking narration. The 2005 first edition runs 496 pp; the large-print and student editions run 512. Filed in a fiction folder, but excluded from the fiction totals here alongside 1 Enoch."
"After the Ice: A Global Human History, 20,000–5000 BC","Mithen, Steven",,,,Harvard University Press,Paperback,2004,,,,,nonfiction history,,,,nonfiction,History,Standalone,I · Prehistory,,664,,
First Farmers: The Origins of Agricultural Societies,"Bellwood, Peter",,,,Blackwell,Paperback,2005,,,,,nonfiction history,,,,nonfiction,History,Standalone,I · Prehistory,,384,,
Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,"Reich, David",,,,Pantheon,Hardcover,2018,,,,,nonfiction history,,,,nonfiction,History,Standalone,I · Prehistory,,368,"Royal Society Science Book Prize, shortlist (2018)",
"By Steppe, Desert, and Ocean: The Birth of Eurasia","Cunliffe, Barry",,,,Oxford University Press,Hardcover,2015,,,,,nonfiction history,,,,nonfiction,History,Standalone,I · Prehistory,,544,,
Mesopotamia: The Invention of the City,"Leick, Gwendolyn",,,,Penguin,Paperback,2001,,,,,nonfiction history,,,,nonfiction,History,Standalone,II · Ancient Near East,,384,,
Gilgamesh: A New Translation of the Ancient Epic,"Helle, Sophus (trans.)",,,,Yale University Press,Hardcover,2021,,,,,nonfiction history,,,,nonfiction,History,Standalone,II · Ancient Near East,,256,,"Helle's translation renders the Standard Babylonian version as continuous poetry, with five interpretive essays."
Enheduana: The Complete Poems of the World's First Author,"Helle, Sophus (trans.)",,,,Yale University Press,Hardcover,2023,,,,,nonfiction history,,,,nonfiction,History,Standalone,II · Ancient Near East,,264,,
Enuma Elish: The Babylonian Epic of Creation,"Haubold, J.",9781350297197,,4.25,Bloomsbury Academic,Paperback,2024,,,,,nonfiction history,,"Helle, S., Jiménez, E., Wisnom, S. (eds.)",20,nonfiction,History,Standalone,II · Ancient Near East,,352,,"Confirmed: Bloomsbury Academic, Oct 2024, 352 pp paperback (xi + 337). Facing-page translation plus thirteen scholarly essays. Open access ebook also available."
"A History of the Ancient Near East, ca. 3000–323 BC","Van De Mieroop, Marc",,,,Wiley-Blackwell,,2015,,,,,nonfiction history,,,,nonfiction,History,Standalone,II · Ancient Near East,,456,,
From Cyrus to Alexander: A History of the Persian Empire,"Briant, Pierre",,,,Eisenbrauns,,2002,,,,,nonfiction history,,,,nonfiction,History,Standalone,II · Ancient Near East,,1196,,The standard reference work on the Achaemenid Empire. Long enough to function as a shelf in itself.
The Histories,Herodotus,,,,Pantheon,,2007,,,,,nonfiction history,,,,nonfiction,History,Standalone,II · Ancient Near East,,1024,,"The Landmark edition adds maps, appendices and running dates. Penguin's Marincola/de Sélincourt runs about 784 pp; Oxford's Waterfield about 800."
Early Greece,"Murray, Oswyn",,,,Harvard University Press,,1993,,,,,nonfiction history,,,,nonfiction,History,Standalone,III · Greece,,360,,
The Iliad,Homer,,,,Penguin Classics,,1990,,,,,nonfiction history,,,,nonfiction,History,Standalone,III · Greece,,704,,"Lattimore's version runs about 608 pp, Lombardo's 608, Wilson's 848. Fagles is the common narrative-first choice."
The Odyssey,Homer,,,,Penguin Classics,,1996,,,,,nonfiction history,,,,nonfiction,History,Standalone,III · Greece,,560,,Emily Wilson's 2018 translation runs 592 pp and is the other obvious modern option.
Ancient Greece: A History in Eleven Cities,"Cartledge, Paul",,,,Oxford University Press,Paperback,2009,,,,,nonfiction history,,,,nonfiction,History,Standalone,III · Greece,,304,,
The Peloponnesian War,"Kagan, Donald",,,,Viking,Hardcover,2003,,,,,nonfiction history,,,,nonfiction,History,Standalone,III · Greece,,511,,"The single-volume distillation of Kagan's four-volume study, which runs to roughly 1,800 pp."
The Oresteia,Aeschylus,,,,Penguin Classics,,1977,,,,,nonfiction history,,,,nonfiction,History,Standalone,III · Greece,,335,,
Oedipus the King and Antigone,Sophocles,,,,Penguin Classics,,1984,,,,,nonfiction history,,,,nonfiction,History,Standalone,III · Greece,,190,,"These two plays are rarely printed alone. The standard vehicle is The Three Theban Plays (432 pp), which adds Oedipus at Colonus; the two plays themselves run about 190 pp of it."
From Alexander to Actium: The Historical Evolution of the Hellenistic Age,"Green, Peter",,,,University of California Press,Paperback,1990,,,,,nonfiction history,,,,nonfiction,History,Standalone,III · Greece,,970,,
The Republic,Plato,,,,Penguin Classics,,2007,,,,,nonfiction history,,,,nonfiction,History,Standalone,III · Greece,,496,,
The Beginnings of Rome: Italy and Rome from the Bronze Age to the Punic Wars,"Cornell, Timothy J.",,,,Routledge,Paperback,1995,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,528,,
SPQR: A History of Ancient Rome,"Beard, Mary",,,,Liveright,Hardcover,2015,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,608,,
Rubicon: The Last Years of the Roman Republic,"Holland, Tom",,,,Anchor,Paperback,2003,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,464,,
Caesar: Life of a Colossus,"Goldsworthy, Adrian",,,,Yale University Press,Paperback,2006,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,608,,
The Roman Revolution,"Syme, Ronald",,,,Oxford University Press,Paperback,1939,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,568,,
Augustus: First Emperor of Rome,"Goldsworthy, Adrian",,,,Yale University Press,Hardcover,2014,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,624,,
The Aeneid,Virgil,,,,Viking,,2006,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,496,,Fitzgerald's version runs 432 pp; Ruden's 2008 line-for-line translation about 320.
The Twelve Caesars,Suetonius,,,,Penguin Classics,,2007,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,400,,
"The Fate of Rome: Climate, Disease, and the End of an Empire","Harper, Kyle",,,,Princeton University Press,Hardcover,2017,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,440,,
The Fall of the Roman Empire: A New History of Rome and the Barbarians,"Heather, Peter",,,,Oxford University Press,Paperback,2006,,,,,nonfiction history,,,,nonfiction,History,Standalone,IV · Rome,,592,,
The History of the Decline and Fall of the Roman Empire,"Gibbon, Edward",,,,Everyman's Library,,1776–89,,,,,nonfiction history,,,,nonfiction,History,Multi-volume work,IV · Rome,,3808,,"Written and published in six volumes, and the complete text is still sold that way. Penguin's one-volume abridgement (ed. David Womersley) runs about 848 pp and cuts roughly three quarters of the text — a materially different reading experience, and worth deciding on deliberately. Component counts are the Everyman's Library set and are approximate."
"The World of Late Antiquity, AD 150–750","Brown, Peter",,,,Thames & Hudson,Paperback,1971,,,,,nonfiction history,,,,nonfiction,History,Standalone,V · Byzantium,,216,,
Byzantium: The Early Centuries,"Norwich, John Julius",,,,Knopf,Hardcover,1989,,,,,nonfiction history,,,,nonfiction,History,Standalone,V · Byzantium,1,408,,Volume 1 of three. Volumes 2 and 3 are entry 6 in this section.
Fourteen Byzantine Rulers: The Chronographia,"Psellus, Michael",,,,Penguin Classics,,1966,,,,,nonfiction history,,,,nonfiction,History,Standalone,V · Byzantium,,400,,
The Alexiad,"Komnene, Anna",,,,Penguin Classics,,2009,,,,,nonfiction history,,,,nonfiction,History,Standalone,V · Byzantium,,592,,
De Administrando Imperio,Constantine VII Porphyrogenitus,,,,Dumbarton Oaks,,1967,,,,,nonfiction history,,,,nonfiction,History,Standalone,V · Byzantium,,356,,A scholarly Greek-and-English edition rather than a trade translation; harder to find and much drier than the rest of this section.
Byzantium: The Apogee and Byzantium: The Decline and Fall,"Norwich, John Julius",,,,Knopf,Hardcover,"1992, 1995",,,,,nonfiction history,,,,nonfiction,History,Multi-volume work,V · Byzantium,2–3,877,,"This single line in the source list is two separate books, which is part of why the canon's own summary table undercounts this section."
The Fall of Constantinople 1453,"Runciman, Steven",,,,Cambridge University Press,Paperback,1965,,,,,nonfiction history,,,,nonfiction,History,Standalone,V · Byzantium,,272,,
Life in a Medieval Castle,"Gies, Frances",,,,Harper Perennial,,1974,,,,,nonfiction history,,"Gies, Joseph",,nonfiction,History,Standalone,VI · Medieval Europe,,272,,
Life in a Medieval Village,"Gies, Frances",,,,Harper Perennial,,1990,,,,,nonfiction history,,"Gies, Joseph",,nonfiction,History,Standalone,VI · Medieval Europe,,272,,
Life in a Medieval City,"Gies, Frances",,,,Harper Perennial,,1969,,,,,nonfiction history,,"Gies, Joseph",,nonfiction,History,Standalone,VI · Medieval Europe,,288,,
"Cathedral, Forge, and Waterwheel: Technology and Invention in the Middle Ages","Gies, Frances",,,,Harper Perennial,,1994,,,,,nonfiction history,,"Gies, Joseph",,nonfiction,History,Standalone,VI · Medieval Europe,,368,,
Feudal Society,"Bloch, Marc",,,,Routledge,,1939–40,,,,,nonfiction history,,,,nonfiction,History,Multi-volume work,VI · Medieval Europe,,512,,Published in two volumes and usually sold that way in English; some printings bind both as one ~500 pp volume.
The Hundred Years War I: Trial by Battle,"Sumption, Jonathan",,,,Faber & Faber,Paperback,1990,,,,,nonfiction history,,,,nonfiction,History,Standalone,VI · Medieval Europe,1,672,,"First of five volumes; the completed sequence runs to roughly 4,000 pp. Only volume 1 is in the canon."
Heart of Europe: A History of the Holy Roman Empire,"Wilson, Peter H.",,,,Harvard University Press,Hardcover,2016,,,,,nonfiction history,,,,nonfiction,History,Standalone,VI · Medieval Europe,,1008,,"Organised thematically rather than chronologically, which makes it the least narrative-first book in this section."
Early China: A Social and Cultural History,"Feng, Li",,,,Cambridge University Press,Paperback,2013,,,,,nonfiction history,,,,nonfiction,History,Standalone,VII · China,,397,,
The Early Chinese Empires: Qin and Han,"Lewis, Mark Edward",,,,Harvard University Press,,2007,,,,,nonfiction history,,,,nonfiction,History,Standalone,VII · China,1,336,,"The source list credits this to Dieter Kuhn. It is by Mark Edward Lewis; Kuhn wrote the Song volume, listed as entry 6 in this section. The two attributions appear to have been swapped."
Three Kingdoms,"Luo, Guanzhong",,,,Foreign Languages Press / University of California Press,,1991,,,,,nonfiction history,,,,nonfiction,History,Multi-volume work,VII · China,,2340,,The unabridged Moss Roberts translation runs to four volumes. There is also a one-volume abridgement (~400 pp) that cuts about two thirds — a very different book. Component counts are approximate.
China Between Empires: The Northern and Southern Dynasties,"Lewis, Mark Edward",,,,Harvard University Press,,2009,,,,,nonfiction history,,,,nonfiction,History,Standalone,VII · China,2,368,,
China's Cosmopolitan Empire: The Tang Dynasty,"Lewis, Mark Edward",,,,Harvard University Press,,2009,,,,,nonfiction history,,,,nonfiction,History,Standalone,VII · China,3,368,,
The Age of Confucian Rule: The Song Transformation of China,"Kuhn, Dieter",,,,Harvard University Press,,2009,,,,,nonfiction history,,,,nonfiction,History,Standalone,VII · China,4,528,,"The source list credits this to Timothy Brook. It is by Dieter Kuhn; Brook wrote the Yuan/Ming volume, entry 7. See the note on entry 2 — the two are swapped."
The Troubled Empire: China in the Yuan and Ming Dynasties,"Brook, Timothy",,,,Harvard University Press,,2010,,,,,nonfiction history,,,,nonfiction,History,Standalone,VII · China,5,352,,
The Story of the Stone,"Cao, Xueqin",,,,Penguin Classics,,1973–86,,,,,nonfiction history,,,,nonfiction,History,Multi-volume work,VII · China,,2584,,"Also known as Dream of the Red Chamber. Cao wrote the first eighty chapters; the last forty, translated by John Minford in volumes 4 and 5, are generally attributed to Gao E. Component counts are approximate."
